uid,cls
202388889,1
1392518336,0
361208576,1
1535215357,1
4396196375,1
17938477,1
720288026681716737,1
174004739,1
53783678,1
257662370,1
4795355113,1
1633971270,1
2803810119,1
2244770588,1
102071251,1
3358825450,0
555940842,1
2469354073,0
360464656,0
77243076,1
1731752761,1
2330149164,0
2830586398,1
443273019,0
2591381383,0
1093716612,1
36620392,1
3437626995,1
387962514,1
2938363689,1
20930398,1
143697407,0
2291500309,1
352663209,1
14616266,1
2277153890,1
455246957,1
1400974436,1
449119247,1
330816423,1
29204608,1
2733660094,1
4756963587,0
22045364,0
4136625193,0
372046661,1
849310634,1
24036997,1
1141088486,0
3014684283,0
3293949957,1
727272715665690624,0
2752545437,1
14368656,1
20405419,1
2682726528,1
717841856785088512,1
2889092479,1
3182191980,0
2582869146,1
3092469172,1
2826839454,1
2660374267,1
261625073,1
233499930,0
2664749580,1
106594321,1
722573847430504448,1
3742834517,1
735391716887429120,0
241331375,0
442382315,1
16536054,1
81324827,1
583117972,1
15800855,0
705726066,1
68857077,1
197516080,1
8685682,1
2976908908,1
2701255986,1
620018150,1
271451861,0
194773838,1
2893677862,1
2392573227,1
1195278157,1
830253571,1
377029968,1
122799299,1
27317580,1
12754762,1
85973106,1
2873086293,0
15751454,1
591690042,1
4092854173,1
270212875,1
870857718,1
1663794048,0
862290265,0
707400118807482369,0
17389503,0
40768083,0
243053328,1
89662003,1
17369567,0
738921600,1
604476686,0
302563842,1
247944133,1
3331968983,1
252434425,1
2810127544,0
156333299,1
181336337,1
3097175972,0
186397253,1
2866782904,1
719914275771428866,0
4900376472,0
2412966416,0
174141832,1
64619482,1
394974502,1
2198704020,1
18155773,1
756335606607720450,1
732808088810618880,1
22286451,1
96235518,1
3091562110,1
3195714762,1
4112063532,1
125868025,1
737109737054056448,1
103153950,1
742777527467380742,1
2976487163,0
3123204560,1
307445751,0
250492272,1
237443755,1
33655372,1
385759660,1
2869813893,1
37374348,1
996399246,1
15801372,1
744682635188928512,0
3091636366,1
321213484,1
940237466,0
37214134,1
2585090000,1
861746341,1
3145741085,1
868252610,0
19780786,1
3556805776,1
710823996032290816,1
1534375489,1
262939560,1
360323271,1
2204642713,1
1574318594,1
4384693707,1
702559655461957632,1
266867158,1
484595690,1
768806279309512705,1
162500440,1
3073503603,0
1575902725,0
1199251308,1
48525928,1
215698464,1
2359225182,0
13854472,1
4853512997,0
4505360352,0
706466308976734208,0
889022935,1
2804090827,1
2218957290,1
305141481,1
2807496454,0
566871266,1
396787338,0
751804249084948480,1
1633951202,0
3059822856,1
324191116,1
2366569213,1
3237611533,1
93033299,1
2834652729,0
2679693610,1
33443030,1
609212773,1
139881843,1
13050712,1
1593911304,1
3105274249,1
3099191,1
766192139294367744,1
1194986731,1
4334014937,1
581109471,1
1624347776,1
5673082,1
1361623950,1
1319277674,1
1511217822,1
2489712225,1
156751345,1
714717134,1
23581650,1
4909093579,1
2440870033,1
70276986,1
22643886,1
376449628,1
746503986501541888,1
1619363983,0
2328392220,0
366081170,1
32943298,1
755161479326859264,1
30789320,1
761640324267552768,1
749905226,1
1049419069,0
948150751,1
1556914716,1
120661388,0
805488692,1
2399010342,0
2847958116,1
84909370,1
392579325,1
1491224984,1
454189198,1
859643052,1
3004713411,1
3231382825,1
317074915,0
377578563,1
357674179,1
757849337955180544,0
32499271,1
2881137610,1
14146356,1
23563560,1
3466002195,1
1715803561,1
741228795466768384,1
17589158,1
863004894,1
196728663,0
28027426,0
392904239,1
145739275,1
600761826,1
298982890,1
3255049069,1
436740696,1
752347799623196674,1
2593236660,0
4882314680,1
253363609,1
16280507,1
1339229832,0
2179534140,1
724950499536019456,0
710613745374920705,1
2516724463,1
19078594,1
286626183,0
274768374,0
521810110,0
564775361,1
44481763,1
301607114,0
760201676187918336,1
16675438,1
701264676,1
1313934584,1
2326301849,0
30714301,1
769649548604084227,1
251011762,1
725850449765535745,1
750460140604665856,1
4860375540,1
717875016667258880,1
6755322,0
42597573,1
528984189,1
4824442102,1
4032966483,1
2702449304,1
240655988,1
1681182696,1
254712855,1
235005003,1
408519846,0
506460264,1
17068636,0
28372736,1
6335572,1
33387382,1
523907371,0
707221196992020480,1
45506413,1
86656757,1
312282367,1
2461141921,0
762872863,1
541334839,1
214356248,0
363309009,1
752621591209488385,0
939543931,1
15459746,1
1318931731,1
3065516115,1
20179598,1
2557992329,0
750798507187941376,0
1801037154,0
517509150,1
128099263,1
228686398,1
4100826221,1
117560722,1
1908456235,1
3368114369,0
